date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:21:19	205238/205238	---MCZ	200	added ('OK')	text/html	etag:cacheable:e734bf78da49991a90e78b870fdf8c2c	https://naturecircle.myshopify.com/	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/index.html	(from )
13:21:19	383/383	---MCZ	200	added ('OK')	text/plain	etag:cacheable:a9be492650623d32382bca8d4913a6c3	https://naturecircle.myshopify.com/robots.txt		(from )
13:21:20	42906/42906	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Mar%202019%2016:18:47%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/timber.scss.css?40	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/timber.scssd645.css	(from https://naturecircle.myshopify.com/)
13:21:20	127343/127343	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Jan%202019%2004:40:31%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/bootstrap.min.css?40	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/bootstrap.mind645.css	(from https://naturecircle.myshopify.com/)
13:21:21	30945/30945	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Jan%202019%2006:42:45%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/font-awesome.min.css?40	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/font-awesome.mind645.css	(from https://naturecircle.myshopify.com/)
13:21:21	115255/115255	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Jan%202019%2006:03:09%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/ie7.css?40	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/ie7d645.css	(from https://naturecircle.myshopify.com/)
13:21:23	203769/203769	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Jan%202019%2008:56:53%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/plugins.css?40	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/pluginsd645.css	(from https://naturecircle.myshopify.com/)
13:21:23	250795/250795	---M-Z	200	added ('OK')	text/css	date:Mon,%2021%20Jan%202019%2008:51:07%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/style.css?40	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/styled645.css	(from https://naturecircle.myshopify.com/)
13:21:25	25337/25337	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Jan%202019%2004:40:43%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/theme-default.css?40	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/theme-defaultd645.css	(from https://naturecircle.myshopify.com/)
13:21:25	16794/16794	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Feb%202019%2004:20:23%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/theme-custom.css?40	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/theme-customd645.css	(from https://naturecircle.myshopify.com/)
13:21:25	2328/2328	---M-Z	200	added ('OK')	text/css	date:Tue,%2022%20Jan%202019%2006:44:29%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/theme-responsive.css?40	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/theme-responsived645.css	(from https://naturecircle.myshopify.com/)
13:21:25	4592/4592	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Mar%202019%2009:59:04%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/skin-theme.css?40	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/skin-themed645.css	(from https://naturecircle.myshopify.com/)
13:21:26	14316/14316	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Mar%202019%2009:59:04%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/theme-color.css?40	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/theme-colord645.css	(from https://naturecircle.myshopify.com/)
13:21:26	51907/51907	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2004%20Mar%202019%2019:06:08%20GMT	https://cdn.shopify.com/s/javascripts/tricorder/trekkie.storefront.min.js?v=2017.09.05.1	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/javascripts/tricorder/trekkie.storefront.min97e4.js	(from https://naturecircle.myshopify.com/)
13:21:27	5975/5975	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Feb%202019%2006:09:13%20GMT	http://cdn.shopify.com/s/assets/shop_events_listener-acf771159f9849ef6e5265782c99efe8b99406214c96a4373224ecafe285d7bb.js	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/assets/shop_events_listener-acf771159f9849ef6e5265782c99efe8b99406214c96a4373224ecafe285d7bb.js	(from https://naturecircle.myshopify.com/)
13:21:28	35/35	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Mar%202019%2010:17:27%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/t/2/compiled_assets/styles.css?40	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/t/2/compiled_assets/stylesd645.css	(from https://naturecircle.myshopify.com/)
13:21:28	0/0	---M--	200	added ('OK')	application/javascript	date:Mon,%2011%20Mar%202019%2010:17:27%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/t/2/compiled_assets/scripts.js?40	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/t/2/compiled_assets/scriptsd645.js	(from https://naturecircle.myshopify.com/)
13:21:29	36575/36575	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Feb%202019%2006:09:13%20GMT	http://cdn.shopify.com/s/assets/storefront/features-e87392afe29fe307282f4e6aad12cb4bcc2afefd6b7febf0b70edfd315f9684c.js	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/assets/storefront/features-e87392afe29fe307282f4e6aad12cb4bcc2afefd6b7febf0b70edfd315f9684c.js	(from https://naturecircle.myshopify.com/)
13:21:29	8638/8638	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2002%20Jan%202019%2004:40:38%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/modernizr-3.5.0.min.js?40	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/modernizr-3.5.0.mind645.js	(from https://naturecircle.myshopify.com/)
13:21:31	18994/18994	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2002%20Jan%202019%2004:40:40%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/popper.min.js?40	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/popper.mind645.js	(from https://naturecircle.myshopify.com/)
13:21:32	50564/50564	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2002%20Jan%202019%2004:40:31%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/bootstrap.min.js?40	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/bootstrap.mind645.js	(from https://naturecircle.myshopify.com/)
13:21:33	5339/5339	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2002%20Jan%202019%2004:40:36%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/jquery.countdown.min.js?40	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/t/2/assets/jquery.countdown.mind645.js	(from https://naturecircle.myshopify.com/)
